Career,Description,Qualification,Skills,Interest,Hobby
Software Engineer,"Designs, develops, and tests software applications","Bachelor's in Computer Science","Programming, Algorithms, Debugging","Technology, Problem-solving","Coding side projects"
Registered Nurse,"Provides patient care in healthcare settings","Bachelor of Science in Nursing","Patient assessment, Medication administration","Helping others, Medicine","Health blogging, Yoga"
Graphic Designer,"Creates visual concepts for communications","Bachelor's in Graphic Design","Adobe Creative Suite, Typography","Creativity, Art","Digital illustration, Photography"
Data Analyst,"Interprets complex data to inform decisions","Bachelor's in Statistics","Excel, SQL, Data visualization","Analytics, Patterns","Puzzle games, Data competitions"
Elementary Teacher,"Educates children in foundational subjects","Bachelor's in Education + Teaching License","Curriculum planning, Classroom management","Teaching, Child development","Educational blogging, Tutoring"
Civil Engineer,"Designs infrastructure projects","Bachelor's in Civil Engineering","CAD, Structural analysis","Problem-solving, Design","Model building, Urban exploration"
Marketing Manager,"Develops promotional strategies","Bachelor's in Marketing","Market research, Digital marketing","Consumer behavior, Creativity","Social media trends, Blogging"
Financial Advisor,"Provides financial planning services","Bachelor's in Finance","Financial planning, Risk assessment","Numbers, Economics","Stock tracking, Personal finance"
Mechanical Engineer,"Designs mechanical systems","Bachelor's in Mechanical Engineering","Thermodynamics, CAD","Innovation, Physics","Robotics, 3D printing"
Psychologist,"Studies mental processes and behavior","Doctorate in Psychology","Counseling, Research methods","Human behavior, Helping others","Journaling, Meditation"
Chef,"Oversees kitchen operations","Culinary School Diploma","Knife skills, Menu planning","Food science, Creativity","Recipe development, Food blogging"
Electrician,"Installs/maintains electrical systems","Apprenticeship + License","Electrical codes, Troubleshooting","Practical work, Problem-solving","Home automation, Electronics"
Web Developer,"Builds and maintains websites","Associate's in CS / Bachelor's in CS","HTML/CSS, JavaScript","Technology, Design","Web design contests, Coding"
Physical Therapist,"Helps patients regain mobility","Doctor of Physical Therapy","Rehabilitation techniques, Anatomy","Health sciences, Helping others","Fitness training, Yoga"
